0,1.30E-03
1,2.69E-03
2,3.27E-03
3,4.41E-03
4,5.19E-03
5,5.95E-03
6,6.92E-03
7,7.54E-03
8,8.42E-03
9,9.15E-03
10,9.87E-03
11,1.07E-02
12,1.24E-02
13,2.06E-02
14,3.78E-02
15,6.46E-02
16,9.96E-02
17,0.14283
18,0.19441
19,0.25398
20,0.32181
21,0.39718
22,0.48011
23,0.57152
24,0.66727
25,0.76274
26,0.85835
27,0.95384
28,1.0492
29,1.1447
30,1.2396
31,1.3348
32,1.4303
33,1.5252
34,1.6202
35,1.7154
36,1.8106
37,1.9052
38,1.9994
39,2.0943
40,2.1889
41,2.2831
42,2.3775
43,2.4714
44,2.5655
45,2.6594
46,2.7532
47,2.8472
48,2.9403
49,3.0339
50,3.1279
51,3.2207
52,3.314
53,3.4074
54,3.4996
55,3.5925
56,3.6859
57,3.7783
58,3.8696
59,3.9615
60,4.0545
61,4.1465
62,4.2376
63,4.3291
64,4.4205
65,4.5119
66,4.6028
67,4.6935
68,4.7843
69,4.8748
70,4.965
71,5.0548
72,5.1446
73,5.234
74,5.3228
75,5.4119
76,5.5009
77,5.5898
78,5.6783
79,5.7663
80,5.8543
81,5.9424
82,6.0303
83,6.118
84,6.2053
85,6.2926
86,6.3796
87,6.4669
88,6.554
89,6.6403
90,6.7272
91,6.8137
92,6.8996
93,6.9858
94,7.0716
95,7.1567
96,7.2421
97,7.3276
98,7.4125
99,7.4971
100,7.5815
101,7.6664
102,7.7512
103,7.8347
104,7.9184
105,8.0023
106,8.0859
107,8.1694
108,8.2526
109,8.3357
110,8.4188
111,8.5009
112,8.5831
113,8.6654
114,8.7471
115,8.8288
116,8.9104
117,8.9915
118,9.073
119,9.154
120,9.2343
121,9.3151
122,9.3954
123,9.4757
124,9.5556
125,9.635
126,9.7143
127,9.7936
128,9.8728
129,9.9513
130,10.03
131,10.108
132,10.186
133,10.264
134,10.342
135,10.418
136,10.495
137,10.572
138,10.649
139,10.726
140,10.801
141,10.878
142,10.954
143,11.029
144,11.104
145,11.18
146,11.254
147,11.329
148,11.404
149,11.478
150,11.552
151,11.626
152,11.699
153,11.773
154,11.846
155,11.919
156,11.991
157,12.064
158,12.136
159,12.208
160,12.279
161,12.35
162,12.422
163,12.493
164,12.563
165,12.634
166,12.704
167,12.774
168,12.844
169,12.914
170,12.983
171,13.052
172,13.121
173,13.189
174,13.257
175,13.325
176,13.393
177,13.46
178,13.528
179,13.595
180,13.662
181,13.728
182,13.795
183,13.861
184,13.927
185,13.993
186,14.058
187,14.123
188,14.188
189,14.252
190,14.317
191,14.381
192,14.445
193,14.509
194,14.572
