Time [s],Minimum [mm],Maximum [mm],Average [mm]
8.19E-02,0,32.94,4.807
8.20E-02,0,33.017,4.7439
8.21E-02,0,33.092,4.6809
8.22E-02,0,33.165,4.6181
8.23E-02,0,33.236,4.5554
8.23E-02,0,33.306,4.4933
8.24E-02,0,33.373,4.4312
8.25E-02,0,33.438,4.3695
8.26E-02,0,33.5,4.3081
8.27E-02,0,33.561,4.2473
8.28E-02,0,33.621,4.1868
8.28E-02,0,33.677,4.1269
8.29E-02,0,33.732,4.0676
8.30E-02,0,33.785,4.0089
8.31E-02,0,33.835,3.9516
8.32E-02,0,33.884,3.895
8.33E-02,0,33.93,3.8397
8.33E-02,0,33.974,3.7858
8.34E-02,0,34.017,3.734
8.35E-02,0,34.057,3.6851
8.36E-02,0,34.095,3.6389
8.37E-02,0,34.131,3.5964
8.38E-02,0,34.165,3.5584
8.38E-02,0,34.197,3.5236
8.39E-02,0,34.226,3.4921
8.40E-02,0,34.254,3.4638
8.41E-02,0,34.279,3.438
8.42E-02,0,34.303,3.4143
8.43E-02,0,34.325,3.3925
8.43E-02,0,34.344,3.4168
8.44E-02,0,34.361,3.4599
8.45E-02,0,34.376,3.505
8.46E-02,0,34.389,3.5523
8.47E-02,0,34.4,3.6025
8.48E-02,0,34.409,3.6549
8.48E-02,0,34.415,3.7084
8.49E-02,0,34.42,3.7632
8.50E-02,0,34.422,3.819
8.51E-02,0,34.423,3.8763
8.52E-02,0,34.421,3.9347
8.53E-02,0,34.417,3.9936
8.53E-02,0,34.411,4.0542
8.54E-02,0,34.403,4.1155
8.55E-02,0,34.392,4.1776
8.56E-02,0,34.38,4.2409
8.57E-02,0,34.366,4.3042
8.58E-02,0,34.349,4.3684
8.58E-02,0,34.33,4.433
8.59E-02,0,34.31,4.4972
8.60E-02,0,34.287,4.5624
8.61E-02,0,34.262,4.6273
8.62E-02,0,34.235,4.6915
8.63E-02,0,34.206,4.7566
8.63E-02,0,34.174,4.8212
8.64E-02,0,34.141,4.8856
8.65E-02,0,34.106,4.9502
8.66E-02,0,34.068,5.0142
8.67E-02,0,34.029,5.0787
8.68E-02,0,33.987,5.1429
8.68E-02,0,33.943,5.2066
8.69E-02,0,33.897,5.2705
8.70E-02,0,33.849,5.3338
8.71E-02,0,33.799,5.3972
8.72E-02,0,33.747,5.4607
8.73E-02,0,33.693,5.5233
8.73E-02,0,33.637,5.5865
8.74E-02,0,33.578,5.6492
8.75E-02,0,33.518,5.7112
8.76E-02,0,33.456,5.7735
8.77E-02,0,33.391,5.8356
8.78E-02,0,33.325,5.8974
8.78E-02,0,33.256,5.9592
8.79E-02,0,33.186,6.0204
8.80E-02,0,33.113,6.0815
8.81E-02,0,33.039,6.1429
8.82E-02,0,32.962,6.2036
8.83E-02,0,32.883,6.2637
8.83E-02,0,32.803,6.3242
8.84E-02,0,32.72,6.3843
8.85E-02,0,32.635,6.444
8.86E-02,0,32.549,6.5038
8.87E-02,0,32.46,6.5628
8.88E-02,0,32.369,6.6216
8.88E-02,0,32.277,6.6804
8.89E-02,0,32.182,6.7385
8.90E-02,0,32.085,6.7967
8.91E-02,0,31.987,6.8546
8.92E-02,0,31.886,6.9126
8.93E-02,0,31.784,6.9703
8.93E-02,0,31.679,7.0275
8.94E-02,0,31.573,7.0849
8.95E-02,0,31.465,7.1421
8.96E-02,0,31.354,7.199
8.97E-02,0,31.242,7.2556
8.98E-02,0,31.129,7.3121
8.98E-02,0,31.013,7.3687
8.99E-02,0,30.895,7.4249
9.00E-02,0,30.775,7.4808
9.01E-02,0,30.653,7.5368
9.02E-02,0,30.53,7.5924
9.03E-02,0,30.405,7.6478
9.03E-02,0,30.277,7.7031
9.04E-02,0,30.148,7.7581
9.05E-02,0,30.017,7.8129
9.06E-02,0,29.885,7.8675
9.07E-02,0,29.75,7.9218
9.08E-02,0,29.613,7.9762
9.08E-02,0,29.475,8.0302
9.09E-02,0,29.336,8.0839
9.10E-02,0,29.194,8.1377
9.11E-02,0,29.05,8.1908
9.12E-02,0,28.904,8.244
9.13E-02,0,28.757,8.2971
9.13E-02,0,28.609,8.3495
9.14E-02,0,28.458,8.4027
9.15E-02,0,28.305,8.4552
9.16E-02,0,28.151,8.5071
9.17E-02,0,27.996,8.5593
9.18E-02,0,27.838,8.6111
9.18E-02,0,27.679,8.6629
9.19E-02,0,27.518,8.7145
9.20E-02,0,27.355,8.7657
9.21E-02,0,27.191,8.8168
9.22E-02,0,27.025,8.8677
9.23E-02,0,26.857,8.9184
9.23E-02,0,26.688,8.9689
9.24E-02,0,26.517,9.0192
9.25E-02,0,26.344,9.0693
9.26E-02,0,26.17,9.1192
9.27E-02,0,25.994,9.1689
9.28E-02,0,25.817,9.2185
9.28E-02,0,25.638,9.268
9.29E-02,0,25.458,9.3169
9.30E-02,0,25.276,9.3656
9.31E-02,0,25.092,9.4143
9.32E-02,0,24.907,9.4636
9.33E-02,0,24.72,9.5122
9.33E-02,0,24.532,9.56
9.34E-02,0,24.342,9.6081
9.35E-02,0,24.151,9.6561
9.36E-02,0,23.959,9.7041
9.37E-02,0,23.765,9.7516
9.38E-02,0,23.569,9.7987
9.38E-02,0,23.372,9.8462
9.39E-02,0,23.174,9.893
9.40E-02,0,22.974,9.9399
9.41E-02,0,22.773,9.9868
9.42E-02,0,22.57,10.033
9.43E-02,0,22.366,10.079
9.43E-02,0,22.161,10.126
9.44E-02,0,21.954,10.171
9.45E-02,0,21.746,10.217
9.46E-02,0,21.679,10.263
9.47E-02,0,21.78,10.308
9.48E-02,0,21.881,10.354
9.48E-02,0,21.981,10.398
9.49E-02,0,22.081,10.443
9.50E-02,0,22.182,10.488
9.51E-02,0,22.283,10.532
9.52E-02,0,22.384,10.577
9.53E-02,0,22.484,10.621
9.53E-02,0,22.583,10.665
9.54E-02,0,22.684,10.709
9.55E-02,0,22.782,10.753
9.56E-02,0,22.88,10.797
9.57E-02,0,22.979,10.84
9.58E-02,0,23.077,10.884
9.58E-02,0,23.173,10.927
9.59E-02,0,23.272,10.97
9.60E-02,0,23.37,11.012
9.61E-02,0,23.467,11.055
9.62E-02,0,23.564,11.098
9.63E-02,0,23.661,11.14
9.63E-02,0,23.758,11.182
9.64E-02,0,23.855,11.224
9.65E-02,0,23.951,11.266
9.66E-02,0,24.047,11.308
9.67E-02,0,24.143,11.35
9.68E-02,0,24.237,11.391
9.68E-02,0,24.332,11.432
9.69E-02,0,24.428,11.474
9.70E-02,0,24.523,11.515
9.71E-02,0,24.617,11.555
9.72E-02,0,24.711,11.596
9.73E-02,0,24.804,11.637
9.73E-02,0,24.897,11.677
9.74E-02,0,24.992,11.717
9.75E-02,0,25.085,11.757
9.76E-02,0,25.175,11.797
9.77E-02,0,25.269,11.838
9.78E-02,0,25.367,11.877
9.78E-02,0,25.458,11.916
9.79E-02,0,25.544,11.956
9.80E-02,0,25.636,11.996
9.81E-02,0,25.733,12.034
9.82E-02,0,25.823,12.073
9.83E-02,0,25.912,12.112
9.83E-02,0,26.003,12.151
9.84E-02,0,26.094,12.19
9.85E-02,0,26.184,12.228
9.86E-02,0,26.322,12.266
9.87E-02,0,26.507,12.304
9.88E-02,0,26.694,12.342
9.88E-02,0,26.879,12.38
9.89E-02,0,27.062,12.418
9.90E-02,0,27.239,12.455
9.91E-02,0,27.421,12.493
9.92E-02,0,27.599,12.53
9.93E-02,0,27.772,12.567
9.93E-02,0,27.943,12.604
9.94E-02,0,28.112,12.641
9.95E-02,0,28.281,12.677
9.96E-02,0,28.448,12.714
9.97E-02,0,28.609,12.751
9.98E-02,0,28.768,12.786
9.98E-02,0,28.93,12.822
9.99E-02,0,29.09,12.858
0.1,0,29.247,12.894
